955;bkt;I       L       Boloki
956;bku;I       L       Buhid
957;bkv;I       L       Bekwarra
958;bkw;I       L       Bekwel
959;bkx;I       L       Baikeno
960;bky;I       L       Bokyi
961;bkz;I       L       Bungku
962;bla;bla     bla             I       L       Siksika
963;blb;I       L       Bilua
964;blc;I       L       Bella Coola
965;bld;I       L       Bolango
966;ble;I       L       Balanta-Kentohe
967;blf;I       L       Buol
969;blh;I       L       Kuwaa
970;bli;I       L       Bolia
971;blj;I       L       Bolongan
972;blk;I       L       Pa'o Karen
973;bll;I       E       Biloxi
974;blm;I       L       Beli (South Sudan)
975;bln;I       L       Southern Catanduanes Bikol
976;blo;I       L       Anii
977;blp;I       L       Blablanga
978;blq;I       L       Baluan-Pam
979;blr;I       L       Blang
980;bls;I       L       Balaesang
981;blt;I       L       Tai Dam
983;blv;I       L       Kibala
984;blw;I       L       Balangao
985;blx;I       L       Mag-Indi Ayta
986;bly;I       L       Notre
987;blz;I       L       Balantak
988;bma;I       L       Lame
989;bmb;I       L       Bembe
990;bmc;I       L       Biem
991;bmd;I       L       Baga Manduri
992;bme;I       L       Limassa
993;bmf;I       L       Bom-Kim
994;bmg;I       L       Bamwe
995;bmh;I       L       Kein
996;bmi;I       L       Bagirmi
997;bmj;I       L       Bote-Majhi
998;bmk;I       L       Ghayavi
999;bml;I       L       Bomboli
1000;bmm;I      L       Northern Betsimisaraka Malagasy
1001;bmn;I      E       Bina (Papua New Guinea)
1002;bmo;I      L       Bambalang
1003;bmp;I      L       Bulgebi
1004;bmq;I      L       Bomu
1005;bmr;I      L       Muinane
1006;bms;I      L       Bilma Kanuri
1007;bmt;I      L       Biao Mon
1008;bmu;I      L       Somba-Siawari
1009;bmv;I      L       Bum
1010;bmw;I      L       Bomwali
1011;bmx;I      L       Baimak
1013;bmz;I      L       Baramu
1014;bna;I      L       Bonerate
1015;bnb;I      L       Bookan
1016;bnc;M      L       Bontok
1017;bnd;I      L       Banda (Indonesia)
1018;bne;I      L       Bintauna
1019;bnf;I      L       Masiwang
1020;bng;I      L       Benga
1022;bni;I      L       Bangi
1023;bnj;I      L       Eastern Tawbuid
1024;bnk;I      L       Bierebo
1025;bnl;I      L       Boon
1026;bnm;I      L       Batanga
1027;bnn;I      L       Bunun
1028;bno;I      L       Bantoanon
1029;bnp;I      L       Bola
1030;bnq;I      L       Bantik
1031;bnr;I      L       Butmas-Tur
1032;bns;I      L       Bundeli
1034;bnu;I      L       Bentong
1035;bnv;I      L       Bonerif
1036;bnw;I      L       Bisis
1037;bnx;I      L       Bangubangu
1038;bny;I      L       Bintulu
1039;bnz;I      L       Beezen
1040;boa;I      L       Bora
1041;bob;I      L       Aweer
1043;bod;tib    bod     bo      I       L       Tibetan
